battery_level,battery_health,battery_drop_rate,battery_trend,temperature,motor_current,cpu_load,velocity,anomaly_type
74.53,100.0,0.53,-1.08,97.42,11.77,31.39,1.44,MOTOR_OVERHEATING
73.85,100.0,0.67,-1.2,98.46,12.09,38.43,1.13,MOTOR_OVERHEATING
73.18,100.0,0.67,-1.35,99.85,11.47,29.1,0.82,MOTOR_OVERHEATING
72.63,100.0,0.55,-1.22,100.7,11.4,25.13,0.7,MOTOR_OVERHEATING
72.05,100.0,0.58,-1.13,101.74,11.27,24.94,0.56,MOTOR_OVERHEATING
71.53,100.0,0.52,-1.1,102.82,11.03,41.18,0.49,MOTOR_OVERHEATING
71.15,100.0,0.38,-0.9,48.25,3.82,38.99,0.98,Normal
70.74,100.0,0.41,-0.79,47.78,4.99,41.1,1.29,Normal
70.23,100.0,0.51,-0.92,48.05,5.55,32.39,1.21,Normal
69.69,100.0,0.54,-1.05,48.22,5.27,35.57,1.37,Normal
69.09,100.0,0.6,-1.14,48.41,5.85,33.72,1.33,Normal
68.39,100.0,0.69,-1.3,48.78,5.61,31.64,1.33,Normal
67.83,100.0,0.56,-1.26,48.99,5.64,34.31,1.46,Normal
67.22,100.0,0.62,-1.18,49.19,5.94,28.4,1.4,Normal
66.7,100.0,0.52,-1.13,49.18,5.86,43.57,1.46,Normal
66.05,100.0,0.65,-1.17,49.71,5.52,28.78,1.6,Normal
65.5,100.0,0.55,-1.2,49.28,5.92,43.43,1.57,Normal
64.91,100.0,0.59,-1.14,49.68,5.85,35.13,1.62,Normal
64.27,100.0,0.64,-1.23,49.63,6.03,41.05,1.76,Normal
63.65,100.0,0.62,-1.26,49.84,6.53,33.02,1.57,Normal
62.94,100.0,0.71,-1.33,50.13,5.59,38.68,1.51,Normal
62.24,100.0,0.7,-1.41,50.18,6.07,34.54,1.16,Normal
61.7,100.0,0.54,-1.24,50.21,4.89,30.32,0.89,Normal
61.14,100.0,0.56,-1.11,49.45,4.76,37.79,0.65,Normal
60.62,100.0,0.52,-1.08,49.29,4.26,25.5,0.51,Normal
60.1,100.0,0.52,-1.04,48.85,4.05,27.13,0.43,Normal
59.11,96.78,0.47,-0.99,47.85,3.59,43.82,0.63,Normal
58.56,93.55,0.54,-1.01,47.51,4.15,27.67,0.99,Normal
58.04,90.48,0.5,-1.04,47.13,4.89,35.95,1.27,Normal
57.42,87.61,0.6,-1.1,47.61,5.35,33.33,1.27,Normal
56.77,85.08,0.63,-1.23,47.82,5.53,45.43,1.47,Normal
56.05,82.68,0.71,-1.34,48.63,5.8,36.95,1.4,Normal
55.2,80.45,0.83,-1.54,49.02,5.75,43.62,1.57,Normal
54.33,77.97,0.86,-1.68,49.76,5.98,43.06,1.48,Normal
53.56,76.07,0.75,-1.6,50.29,5.66,34.48,1.69,BATTERY_DEGRADATION
52.64,73.99,0.9,-1.64,50.6,6.26,39.21,1.66,BATTERY_DEGRADATION
51.89,72.24,0.75,-1.64,50.91,5.78,46.51,1.59,BATTERY_DEGRADATION
48.24,70.13,0.85,-1.6,51.02,6.11,33.97,1.5,BATTERY_DEGRADATION
50.06,68.3,0.94,-1.79,50.95,5.64,35.21,1.46,BATTERY_DEGRADATION
49.19,66.49,0.85,-1.79,51.16,5.76,44.8,1.53,BATTERY_DEGRADATION
48.24,64.95,0.92,-1.77,51.11,6.04,27.86,1.67,BATTERY_DEGRADATION
47.15,63.65,1.07,-2.0,51.29,6.15,41.46,1.22,BATTERY_DEGRADATION
46.11,62.0,1.02,-2.09,51.31,4.91,30.53,0.99,BATTERY_DEGRADATION
42.42,60.58,0.76,-1.77,50.9,5.02,29.05,0.73,BATTERY_DEGRADATION
44.45,59.15,0.87,-1.62,50.71,4.34,26.89,0.66,BATTERY_DEGRADATION
43.61,57.76,0.82,-1.69,50.17,4.33,33.83,0.5,BATTERY_DEGRADATION
42.72,56.83,0.88,-1.7,49.14,3.95,36.49,0.73,BATTERY_DEGRADATION
42.02,55.93,0.69,-1.57,48.85,4.14,24.94,0.86,BATTERY_DEGRADATION
40.58,55.11,0.83,-1.51,47.77,4.94,27.03,0.97,BATTERY_DEGRADATION
40.08,54.19,1.08,-1.91,47.64,4.5,41.12,1.29,BATTERY_DEGRADATION
39.14,53.46,0.92,-2.0,47.71,5.72,30.48,1.33,BATTERY_DEGRADATION
37.91,52.55,1.22,-2.15,47.8,5.69,34.94,1.45,BATTERY_DEGRADATION
36.8,51.59,1.08,-2.31,48.25,5.6,27.73,1.36,BATTERY_DEGRADATION
35.61,50.96,1.19,-2.27,48.17,5.4,44.73,1.46,BATTERY_DEGRADATION
34.47,50.4,1.13,-2.32,48.97,5.68,27.38,1.33,BATTERY_DEGRADATION
33.28,49.6,1.17,-2.3,49.12,5.7,30.55,1.29,BATTERY_DEGRADATION
32.07,48.95,1.2,-2.37,49.6,5.63,27.84,1.24,BATTERY_DEGRADATION
30.98,48.21,1.07,-2.27,49.45,5.61,44.61,1.5,BATTERY_DEGRADATION
29.87,47.77,1.1,-2.17,50.04,5.68,39.58,1.59,BATTERY_DEGRADATION
28.5,47.04,1.36,-2.46,50.36,5.65,36.78,1.5,BATTERY_DEGRADATION
26.17,46.22,1.43,-2.79,50.11,5.63,46.48,1.65,BATTERY_DEGRADATION
25.51,45.6,1.51,-2.95,50.73,6.01,27.41,1.17,BATTERY_DEGRADATION
25.34,45.6,1.27,-2.78,51.0,5.37,42.66,0.86,Normal
24.1,45.6,1.24,-2.51,50.99,4.63,35.77,0.72,Normal
23.11,45.6,0.99,-2.23,50.76,4.94,40.7,0.64,Normal
21.86,45.6,1.25,-2.24,50.84,4.54,34.84,0.49,Normal
20.88,45.6,0.98,-2.23,50.03,4.31,38.77,0.7,Normal
19.59,45.6,1.29,-2.27,49.83,4.53,33.4,0.93,Normal
20.61,45.6,0.0,-0.27,49.07,5.07,34.14,1.21,Normal
21.77,45.6,0.0,2.18,48.72,5.66,44.65,1.47,Normal
22.64,45.6,0.0,2.03,48.85,6.0,42.93,1.5,Normal
23.79,45.6,0.0,2.02,49.38,6.13,29.49,1.7,Normal
24.59,45.6,0.0,1.95,49.51,6.68,43.58,1.7,Normal
25.73,45.6,0.0,1.95,50.64,6.34,39.04,1.6,Normal
26.65,45.6,0.0,2.06,51.25,5.95,41.55,1.7,Normal
27.67,45.6,0.0,1.93,51.56,5.9,29.9,1.55,Normal
28.5,45.6,0.0,1.85,53.02,5.87,31.3,1.56,Normal
29.68,45.6,0.0,2.02,54.36,6.39,46.9,1.72,Normal
30.75,45.6,0.0,2.24,55.93,7.03,29.34,1.61,Normal
31.81,45.6,0.0,2.13,57.93,6.64,29.68,1.53,Normal
32.77,45.6,0.0,2.02,59.41,6.82,36.22,1.42,Normal
33.96,45.6,0.0,2.15,61.16,6.54,43.46,1.12,Normal
34.83,45.6,0.0,2.06,62.35,6.65,25.95,0.81,Normal
35.89,45.6,0.0,1.93,62.88,6.13,32.9,0.65,Normal
37.05,45.6,0.0,2.22,63.34,6.34,28.06,0.47,Normal
37.88,45.6,0.0,1.99,64.44,5.95,24.36,0.38,Normal
38.84,45.6,0.0,1.8,65.1,5.84,24.99,0.83,MOTOR_OVERHEATING
39.84,45.6,0.0,1.96,65.6,6.61,31.44,1.22,MOTOR_OVERHEATING
40.93,45.6,0.0,2.09,66.41,8.15,42.44,1.35,MOTOR_OVERHEATING
41.99,45.6,0.0,2.15,68.91,8.48,36.36,1.33,MOTOR_OVERHEATING
42.84,45.6,0.0,1.91,70.6,8.67,40.29,1.31,MOTOR_OVERHEATING
43.78,45.6,0.0,1.79,72.9,8.67,28.61,1.23,MOTOR_OVERHEATING
44.61,45.6,0.0,1.77,74.46,8.61,36.78,1.47,MOTOR_OVERHEATING
45.72,45.6,0.0,1.94,76.29,9.5,44.87,1.44,MOTOR_OVERHEATING
46.79,45.6,0.0,2.18,78.23,9.58,33.79,1.57,MOTOR_OVERHEATING
47.65,45.6,0.0,1.93,80.24,10.18,28.84,1.57,MOTOR_OVERHEATING
48.56,45.6,0.0,1.76,82.19,9.84,44.82,1.69,MOTOR_OVERHEATING
49.61,45.6,0.0,1.97,83.59,10.77,46.94,1.82,MOTOR_OVERHEATING
50.48,45.6,0.0,1.93,85.65,10.95,36.24,1.71,MOTOR_OVERHEATING
51.31,45.6,0.0,1.69,87.4,10.58,40.6,1.56,MOTOR_OVERHEATING
52.15,45.6,0.0,1.66,89.29,10.89,31.1,1.6,MOTOR_OVERHEATING
53.06,45.6,0.0,1.76,90.94,10.95,34.04,1.22,MOTOR_OVERHEATING
53.92,45.6,0.0,1.77,92.58,10.35,37.55,0.87,MOTOR_OVERHEATING
54.86,45.6,0.0,1.8,93.57,10.41,30.69,0.68,MOTOR_OVERHEATING
55.82,45.6,0.0,1.9,94.13,10.16,33.92,0.58,MOTOR_OVERHEATING
56.83,45.6,0.0,1.98,94.98,10.29,35.61,0.53,MOTOR_OVERHEATING
57.95,45.6,0.0,2.13,95.68,10.36,36.46,1.03,MOTOR_OVERHEATING
58.8,45.6,0.0,1.96,96.65,11.38,36.6,1.18,MOTOR_OVERHEATING
59.74,45.6,0.0,1.79,98.28,11.82,45.01,1.37,MOTOR_OVERHEATING
60.87,45.6,0.0,2.07,99.76,12.25,43.56,1.31,MOTOR_OVERHEATING
62.04,45.6,0.0,2.3,101.52,12.1,44.12,1.4,MOTOR_OVERHEATING
63.02,45.6,0.0,2.15,103.5,12.86,31.71,1.52,MOTOR_OVERHEATING
64.04,45.6,0.0,2.0,49.47,6.08,45.76,1.54,Normal
65.14,45.6,0.0,2.13,50.45,6.04,35.1,1.63,Normal
66.17,45.6,0.0,2.12,50.6,6.16,29.21,1.49,Normal
67.1,45.6,0.0,1.95,50.52,5.86,29.1,1.41,Normal
68.1,45.6,0.0,1.93,50.7,5.83,36.04,1.56,Normal
69.2,45.6,0.0,2.1,50.54,5.86,32.05,1.5,Normal
70.23,45.6,0.0,2.13,50.79,6.05,40.34,1.58,Normal
71.31,45.6,0.0,2.11,50.96,6.06,33.36,1.61,Normal
72.49,45.6,0.0,2.26,51.06,5.86,36.41,1.51,Normal
73.69,45.6,0.0,2.38,51.25,5.96,37.31,1.19,Normal
74.6,45.6,0.0,2.1,51.32,5.23,32.92,0.95,Normal
75.76,45.6,0.0,2.06,50.77,5.04,27.92,0.75,Normal
76.93,45.6,0.0,2.33,49.93,4.1,39.79,0.54,Normal
77.91,45.6,0.0,2.15,49.44,4.11,36.98,0.42,Normal
78.95,45.6,0.0,2.03,48.5,3.59,28.23,0.73,Normal
79.97,45.6,0.0,2.06,47.62,4.04,30.23,0.89,Normal
81.16,45.6,0.0,2.2,47.28,4.66,41.05,1.04,Normal
82.31,45.6,0.0,2.34,47.65,5.05,39.29,1.16,Normal
83.33,45.6,0.0,2.17,47.84,5.48,43.68,1.25,Normal
84.34,45.6,0.0,2.03,48.67,5.46,32.03,1.49,Normal
85.42,45.6,0.0,2.09,49.13,5.83,31.63,1.42,Normal
86.61,45.6,0.0,2.27,49.69,5.79,34.64,1.36,Normal
87.43,45.6,0.0,2.02,50.05,5.45,44.02,1.41,Normal
88.53,45.6,0.0,1.92,49.89,5.78,44.79,1.33,Normal
89.62,45.6,0.0,2.19,50.3,5.59,37.81,1.36,Normal
90.62,45.6,0.0,2.09,50.24,5.78,37.59,1.4,Normal
91.13,45.6,0.0,1.5,50.7,5.38,27.84,1.55,Normal
91.57,45.6,0.0,0.95,50.11,5.55,39.64,1.53,Normal
92.14,45.6,0.0,1.02,50.42,6.05,28.31,1.7,Normal
92.69,45.6,0.0,1.12,50.39,6.41,44.25,1.29,Normal
93.27,45.6,0.0,1.13,51.11,5.18,30.4,1.01,Normal
93.87,45.6,0.0,1.18,50.75,4.98,41.44,0.75,Normal
93.33,44.91,0.0,1.17,50.68,4.39,36.34,0.61,Normal
93.77,44.59,0.0,1.02,50.3,4.13,26.37,0.53,Normal
94.35,44.11,0.0,1.04,49.63,4.12,27.08,0.91,Normal
94.92,43.49,0.0,1.18,49.12,4.78,32.79,0.99,Normal
95.5,42.82,0.0,1.18,48.77,4.61,32.93,1.03,Normal
96.05,42.31,0.0,1.17,48.54,5.11,31.71,1.31,Normal
96.49,41.8,0.0,1.02,48.84,5.22,37.39,1.36,Normal
96.88,41.28,0.0,0.86,49.11,5.52,38.05,1.54,Normal
95.6,40.95,1.27,-0.86,49.22,6.06,29.74,1.62,BATTERY_DEGRADATION
94.15,40.63,1.44,-2.71,49.67,6.14,30.6,1.67,BATTERY_DEGRADATION
92.65,40.23,1.5,-2.94,50.17,5.93,35.56,1.75,BATTERY_DEGRADATION
90.64,40.16,1.56,-3.06,50.04,6.08,26.98,1.61,BATTERY_DEGRADATION
89.35,39.91,1.73,-3.29,50.18,6.26,29.39,1.59,BATTERY_DEGRADATION
87.59,39.58,1.75,-3.47,50.11,5.79,33.35,1.72,BATTERY_DEGRADATION
86.17,39.29,1.42,-3.16,49.87,5.93,50.25,1.56,BATTERY_DEGRADATION
84.7,39.04,1.46,-2.87,50.15,5.63,43.67,1.52,BATTERY_DEGRADATION
81.25,38.68,1.34,-2.79,50.76,5.82,35.48,1.64,BATTERY_DEGRADATION
81.98,38.59,1.36,-2.7,50.46,6.18,41.01,1.28,BATTERY_DEGRADATION
80.13,38.26,1.84,-3.21,50.65,5.34,41.68,1.01,BATTERY_DEGRADATION
78.7,37.89,1.41,-3.26,50.71,4.53,35.63,0.83,BATTERY_DEGRADATION
77.17,37.89,1.53,-2.94,49.9,4.39,32.24,0.72,BATTERY_DEGRADATION
76.0,37.56,1.16,-2.69,49.35,4.57,38.86,0.58,BATTERY_DEGRADATION
74.44,37.52,1.56,-2.72,48.94,3.87,29.53,0.74,BATTERY_DEGRADATION
73.32,37.74,1.13,-2.69,47.97,4.27,26.67,0.84,BATTERY_DEGRADATION
71.81,38.53,1.53,-2.66,47.15,4.4,26.52,0.92,BATTERY_DEGRADATION
70.65,38.46,1.16,-2.69,46.55,4.85,41.17,0.95,BATTERY_DEGRADATION
69.14,38.29,1.5,-2.66,46.75,5.11,39.85,1.29,BATTERY_DEGRADATION
68.5,38.12,1.28,-2.78,47.4,5.43,39.67,1.3,BATTERY_DEGRADATION
66.12,37.8,1.73,-3.01,48.02,5.64,35.63,1.36,BATTERY_DEGRADATION
64.47,37.48,1.64,-3.36,48.54,5.81,31.25,1.31,BATTERY_DEGRADATION
62.59,37.43,1.87,-3.51,49.14,5.17,38.19,1.56,BATTERY_DEGRADATION
61.24,37.41,1.35,-3.22,49.33,5.7,43.68,1.51,BATTERY_DEGRADATION
59.82,37.37,1.43,-2.77,49.94,5.88,40.19,1.36,BATTERY_DEGRADATION
58.29,39.77,1.6,-3.03,50.14,5.47,31.42,1.34,BATTERY_DEGRADATION
56.75,39.53,1.54,-3.15,50.04,5.11,28.62,1.58,BATTERY_DEGRADATION
55.37,39.33,1.38,-2.92,49.66,5.82,42.99,1.43,BATTERY_DEGRADATION
55.26,39.33,1.38,-2.75,49.83,5.78,37.03,1.47,Normal
53.86,39.33,1.4,-2.77,50.24,5.59,31.71,1.18,Normal
52.43,39.33,1.43,-2.83,50.3,4.9,38.15,0.88,Normal
51.0,39.33,1.43,-2.86,49.94,4.48,38.93,0.7,Normal
49.56,39.33,1.44,-2.87,49.2,4.21,35.42,0.55,Normal
48.51,39.33,1.06,-2.49,48.71,3.77,32.55,0.44,Normal
47.49,39.33,1.02,-2.07,48.27,4.11,29.85,0.87,Normal
46.22,39.33,1.27,-2.29,47.5,4.45,33.46,1.22,Normal
44.99,39.33,1.22,-2.49,47.52,5.35,35.79,1.29,Normal
43.64,39.33,1.35,-2.58,47.9,5.5,34.78,1.3,Normal
42.22,39.33,1.43,-2.78,48.48,5.46,32.73,1.32,Normal
40.74,39.33,1.48,-2.9,48.34,5.59,31.48,1.55,Normal
39.13,39.33,1.6,-3.08,48.21,6.13,34.64,1.4,Normal
37.54,39.33,1.6,-3.2,48.9,5.53,32.2,1.6,Normal
36.05,39.33,1.49,-3.09,48.72,5.95,35.45,1.75,Normal
34.33,39.33,1.71,-3.2,49.51,6.2,35.76,1.67,Normal
32.67,39.33,1.66,-3.37,50.09,6.06,28.89,1.66,Normal
30.85,39.33,1.82,-3.48,50.08,6.2,35.89,1.65,Normal
29.08,39.33,1.77,-3.59,52.2,6.48,38.52,1.45,Normal
27.69,39.33,1.39,-3.16,54.29,6.23,35.19,1.45,Normal
26.06,39.33,1.63,-3.03,55.54,6.2,44.13,1.35,Normal
24.32,39.33,1.74,-3.38,57.12,6.26,30.12,1.05,Normal
22.66,39.33,1.66,-3.4,58.56,6.4,33.56,0.83,Normal
21.21,39.33,1.45,-3.11,59.52,5.97,31.39,0.67,Normal
19.78,39.33,1.43,-2.88,60.14,6.02,35.45,0.55,Normal
20.81,39.33,0.0,-0.4,61.41,5.86,30.9,0.4,Normal
21.99,39.33,0.0,2.21,62.33,6.23,25.09,0.66,Normal
22.85,39.33,0.0,2.05,62.94,6.68,29.75,0.97,Normal
23.9,39.33,0.0,1.91,64.0,7.6,43.39,1.13,MOTOR_OVERHEATING
24.71,39.33,0.0,1.86,66.02,7.92,35.32,1.2,MOTOR_OVERHEATING
25.62,39.33,0.0,1.72,67.7,8.21,36.35,1.42,MOTOR_OVERHEATING
26.75,39.33,0.0,2.04,69.83,8.79,31.0,1.65,MOTOR_OVERHEATING
27.81,39.33,0.0,2.2,71.8,8.99,28.2,1.49,MOTOR_OVERHEATING
28.72,39.33,0.0,1.97,73.36,9.15,41.99,1.57,MOTOR_OVERHEATING
29.52,39.33,0.0,1.71,75.09,9.1,34.69,1.6,MOTOR_OVERHEATING
30.59,39.33,0.0,1.87,76.87,9.57,37.19,1.43,MOTOR_OVERHEATING
31.65,39.33,0.0,2.12,78.78,9.15,46.27,1.61,MOTOR_OVERHEATING
32.8,39.33,0.0,2.22,80.66,10.24,42.57,1.45,MOTOR_OVERHEATING
33.89,39.33,0.0,2.24,82.76,9.81,34.43,1.57,MOTOR_OVERHEATING
34.88,39.33,0.0,2.07,84.18,9.96,32.27,1.63,MOTOR_OVERHEATING
35.98,39.33,0.0,2.1,85.37,10.91,41.88,1.45,MOTOR_OVERHEATING
37.13,39.33,0.0,2.25,87.26,10.76,44.07,1.03,MOTOR_OVERHEATING
38.01,39.33,0.0,2.02,88.9,9.93,35.07,0.76,MOTOR_OVERHEATING
39.09,39.33,0.0,1.96,89.62,9.75,27.39,0.59,MOTOR_OVERHEATING
40.06,39.33,0.0,2.05,90.19,9.77,28.59,0.45,MOTOR_OVERHEATING
40.99,39.33,0.0,1.9,91.33,9.74,36.99,0.36,MOTOR_OVERHEATING
42.09,39.33,0.0,2.03,92.07,9.41,30.76,0.73,MOTOR_OVERHEATING
43.2,39.33,0.0,2.21,92.71,10.28,26.55,0.94,MOTOR_OVERHEATING
44.21,39.33,0.0,2.12,93.95,11.0,27.02,1.29,MOTOR_OVERHEATING
45.07,39.33,0.0,1.88,95.4,11.76,40.7,1.38,MOTOR_OVERHEATING
46.03,39.33,0.0,1.82,97.27,11.83,27.42,1.43,MOTOR_OVERHEATING
46.98,39.33,0.0,1.9,99.13,12.6,38.74,1.33,MOTOR_OVERHEATING
47.79,39.33,0.0,1.76,101.37,12.69,37.44,1.27,MOTOR_OVERHEATING
48.83,39.33,0.0,1.85,103.31,12.7,45.69,1.24,MOTOR_OVERHEATING
49.64,39.33,0.0,1.84,49.89,5.5,26.11,1.31,Normal
50.82,39.33,0.0,1.99,49.56,5.34,45.71,1.28,Normal
51.71,39.33,0.0,2.08,49.58,5.26,34.38,1.45,Normal
52.76,39.33,0.0,1.94,49.75,5.34,45.65,1.5,Normal
53.85,39.33,0.0,2.14,49.93,6.01,38.86,1.38,Normal
54.74,39.33,0.0,1.97,49.97,5.23,38.02,1.45,Normal
55.72,39.33,0.0,1.87,50.0,5.98,29.96,1.6,Normal
56.72,39.33,0.0,1.99,50.46,5.62,41.43,1.16,Normal
57.88,39.33,0.0,2.16,50.77,5.15,31.94,0.91,Normal
58.69,39.33,0.0,1.96,50.43,4.78,27.9,0.73,Normal
59.84,39.33,0.0,1.96,49.57,4.66,33.14,0.55,Normal
60.98,39.33,0.0,2.3,49.38,4.01,31.12,0.48,Normal
62.02,39.33,0.0,2.18,48.56,3.95,29.22,0.74,Normal
63.03,39.33,0.0,2.05,47.94,4.09,28.58,0.88,Normal
64.07,39.33,0.0,2.05,47.28,4.72,25.95,1.26,Normal
65.08,39.33,0.0,2.05,47.16,5.47,45.42,1.4,Normal
65.89,39.33,0.0,1.82,47.91,5.47,37.81,1.43,Normal
66.97,39.33,0.0,1.89,48.45,5.78,44.42,1.53,Normal
68.02,39.33,0.0,2.12,48.81,5.58,32.6,1.45,Normal
67.87,38.95,0.0,2.19,49.32,5.75,44.29,1.61,Normal
68.99,38.6,0.0,2.27,49.56,5.84,42.19,1.56,Normal
70.0,38.34,0.0,2.15,50.16,5.64,36.25,1.4,Normal
71.01,37.93,0.0,2.05,50.26,5.62,45.39,1.57,Normal
71.83,37.84,0.0,1.85,50.79,5.83,41.2,1.55,Normal
72.72,37.76,0.0,1.71,50.81,6.1,34.29,1.57,Normal
73.73,37.57,0.0,1.91,51.01,5.82,39.54,1.54,Normal
74.6,38.99,0.0,1.84,51.2,6.04,29.38,1.64,Normal
75.55,38.88,0.0,1.78,51.21,5.65,32.92,1.21,BATTERY_DEGRADATION
75.28,38.54,0.0,2.04,50.95,5.35,31.85,0.85,BATTERY_DEGRADATION
77.64,38.46,0.0,2.1,50.58,4.28,27.53,0.61,BATTERY_DEGRADATION
78.67,39.12,0.0,2.02,49.38,4.12,40.91,0.52,BATTERY_DEGRADATION
79.68,39.04,0.0,1.85,48.56,3.71,38.96,0.44,BATTERY_DEGRADATION
80.65,38.81,0.0,1.99,48.13,4.19,43.2,0.7,BATTERY_DEGRADATION
81.57,38.68,0.0,2.08,47.67,4.45,42.07,1.07,BATTERY_DEGRADATION
81.78,38.51,0.0,1.85,47.42,5.27,45.84,1.35,BATTERY_DEGRADATION
83.64,39.77,0.0,2.03,47.61,5.29,36.16,1.34,BATTERY_DEGRADATION
84.7,39.28,0.0,2.19,47.96,5.17,36.89,1.32,BATTERY_DEGRADATION
85.52,38.95,0.0,1.9,47.83,5.62,33.63,1.49,BATTERY_DEGRADATION
84.1,38.83,0.0,1.93,48.01,5.67,45.91,1.4,BATTERY_DEGRADATION
87.52,38.45,0.0,2.02,48.38,5.79,46.52,1.54,BATTERY_DEGRADATION
88.53,38.43,0.0,1.93,49.06,5.98,34.48,1.61,BATTERY_DEGRADATION
89.4,38.15,0.0,1.89,49.49,5.62,36.81,1.47,BATTERY_DEGRADATION
89.77,37.89,0.0,1.35,49.72,5.56,35.43,1.36,BATTERY_DEGRADATION
90.35,37.83,0.0,0.96,49.79,5.43,36.56,1.48,BATTERY_DEGRADATION
91.37,37.47,0.0,0.96,49.99,5.71,32.58,1.55,BATTERY_DEGRADATION
91.39,39.46,0.0,0.99,49.81,5.97,31.61,1.54,BATTERY_DEGRADATION
89.27,39.35,0.0,1.07,50.05,5.51,38.87,1.52,BATTERY_DEGRADATION
92.4,39.12,0.0,1.02,49.93,5.62,36.57,1.17,BATTERY_DEGRADATION
92.99,39.06,0.0,1.06,50.03,4.87,30.39,0.89,BATTERY_DEGRADATION
93.46,38.66,0.0,1.06,49.77,4.37,32.99,0.69,BATTERY_DEGRADATION
93.91,38.42,0.0,0.95,49.23,4.52,25.09,0.52,BATTERY_DEGRADATION
94.47,38.24,0.0,1.04,48.43,3.86,38.9,0.48,BATTERY_DEGRADATION
94.94,38.56,0.0,1.03,48.21,4.11,33.27,0.89,BATTERY_DEGRADATION
95.39,38.24,0.0,0.91,48.03,4.57,34.51,1.0,BATTERY_DEGRADATION
95.87,38.15,0.0,0.94,48.26,4.98,41.4,1.07,BATTERY_DEGRADATION
97.76,38.15,0.0,1.07,48.55,4.79,45.53,1.2,Normal
98.34,38.15,0.0,1.15,48.37,5.15,28.53,1.41,Normal
96.78,38.15,1.56,-0.98,48.38,5.83,40.21,1.61,Normal
94.9,38.15,1.88,-3.43,48.92,6.18,38.09,1.78,Normal
93.43,38.15,1.48,-3.35,49.62,6.48,29.82,1.84,Normal
91.92,38.15,1.51,-2.99,50.35,6.09,29.95,1.82,Normal
90.37,38.15,1.54,-3.06,50.2,6.13,35.63,1.88,Normal
88.84,38.15,1.53,-3.08,50.82,6.52,39.19,1.95,Normal
87.13,38.15,1.71,-3.24,51.48,6.77,35.55,1.98,Normal
85.48,38.15,1.65,-3.36,52.31,6.55,33.94,1.75,Normal
83.48,38.15,2.01,-3.66,52.57,6.44,27.86,1.67,Normal
81.55,38.15,1.92,-3.93,52.17,5.71,30.89,1.53,Normal
79.9,38.15,1.66,-3.58,52.16,5.7,40.69,1.14,Normal
78.2,38.15,1.7,-3.35,51.71,5.22,42.23,0.89,Normal
76.74,38.15,1.46,-3.16,51.37,4.53,28.57,0.76,Normal
75.65,38.15,1.09,-2.55,50.77,4.42,34.02,0.68,Normal
74.23,38.15,1.42,-2.51,50.15,4.07,33.56,0.59,Normal
