battery_level,battery_health,battery_drop_rate,battery_trend,temperature,motor_current,cpu_load,velocity
36.08,38.76,1.27,-2.79,49.86,3.89,26.59,0.57
89.93,37.81,0.0,0.95,49.2,6.42,42.86,1.81
28.5,45.6,0.0,1.85,53.02,5.87,31.3,1.56
85.35,38.07,1.41,-3.0,50.18,5.33,28.13,2.98
45.79,37.5,1.35,-2.99,92.4,10.52,37.88,0.79
34.28,38.24,0.0,2.13,50.5,5.75,41.01,1.59
63.12,38.35,0.0,1.68,51.72,5.88,36.95,1.54
88.23,38.08,0.0,2.35,48.91,4.85,26.34,1.22
88.75,38.97,0.0,1.93,47.75,5.53,43.46,1.26
77.86,37.83,0.0,1.98,49.01,3.45,25.98,0.58
48.69,45.06,0.0,1.99,51.49,5.25,34.63,0.89
85.79,38.56,0.0,2.1,50.37,5.75,33.71,1.67
97.21,39.19,0.0,0.91,50.85,5.82,38.4,1.22
25.43,37.25,1.47,-3.2,48.77,6.06,39.83,1.59
89.49,38.38,0.0,2.17,50.04,6.42,35.56,0.0
63.39,37.2,0.0,1.98,50.57,6.37,42.04,3.6
83.74,38.65,0.0,1.93,79.41,9.15,35.65,1.17
93.88,38.03,0.0,0.93,50.12,5.76,27.35,1.52
51.93,37.2,0.0,1.8,50.78,6.76,29.0,3.22
62.17,100.0,0.0,2.19,51.21,6.05,28.49,1.57
32.01,100.0,0.61,-1.1,50.22,6.1,31.1,0.0
69.15,38.07,0.0,2.01,49.63,6.48,38.85,1.64
76.69,38.24,1.69,-3.32,82.16,9.65,33.61,1.54
38.51,37.15,1.61,-3.36,50.39,5.16,40.37,0.0
27.28,37.91,0.0,2.13,49.58,5.0,25.65,0.0
61.75,44.43,0.0,2.07,49.32,4.05,38.65,0.63
83.14,100.0,0.46,-1.04,75.38,7.55,35.79,0.95
95.06,39.89,0.0,1.02,50.73,5.65,37.27,1.21
37.24,38.03,1.39,-2.68,48.31,5.5,31.11,0.0
38.17,37.2,0.0,2.19,49.45,5.14,32.6,0.0
60.08,38.4,1.63,-2.77,47.83,5.87,31.68,3.86
90.32,37.96,1.45,-3.18,50.27,4.72,31.49,0.85
34.28,38.58,0.0,2.31,50.65,4.93,30.3,0.61
43.49,36.35,0.0,2.13,49.05,4.93,32.52,2.54
54.75,36.35,1.81,-3.45,48.66,5.62,45.17,1.55
92.21,38.98,0.0,1.01,49.85,5.76,35.35,1.37
94.94,38.03,0.0,0.91,50.27,6.47,45.01,4.18
95.37,36.9,0.0,0.82,50.67,4.02,37.91,0.49
63.09,38.03,0.0,2.15,100.38,11.7,27.84,0.94
47.55,38.98,0.0,2.3,51.0,4.9,34.31,0.78
54.9,38.07,0.0,2.06,67.05,6.78,27.17,0.53
65.02,37.57,1.51,-2.95,47.72,5.51,29.66,0.0
29.54,38.57,1.71,-3.16,47.95,5.92,42.53,1.67
80.08,38.4,1.44,-2.96,50.96,6.74,43.31,4.05
77.54,38.08,0.0,2.04,51.06,6.34,43.02,1.69
62.9,38.56,0.0,1.87,49.83,6.72,35.21,0.0
90.78,37.51,0.0,1.72,47.77,6.67,31.31,3.43
38.09,38.4,1.45,-3.1,51.08,5.22,29.06,0.96
96.08,37.95,0.0,0.92,51.0,5.9,37.84,1.58
35.79,38.18,0.0,2.2,49.92,5.6,43.66,1.61
90.74,38.76,1.68,-2.97,46.89,5.65,30.36,1.5
66.73,37.5,0.0,1.88,104.67,12.79,45.0,1.54
45.15,39.43,1.42,-2.82,47.35,5.67,35.76,1.29
68.74,37.24,1.64,-2.96,63.86,6.2,38.78,0.64
40.2,36.35,0.0,2.08,51.21,5.79,29.26,0.0
34.52,35.55,0.0,2.02,74.26,7.69,32.98,0.93
18.8,36.35,1.6,-2.83,48.51,5.12,39.6,1.14
89.77,38.59,1.4,-2.85,49.13,5.46,36.85,1.52
66.36,38.03,1.68,-3.09,47.18,6.13,35.14,4.34
94.99,37.51,0.0,0.91,74.94,8.29,30.84,1.23
20.02,100.0,0.72,-1.43,49.6,7.28,27.49,0.0
58.14,39.11,1.82,-3.24,51.02,6.03,37.11,1.68
24.8,39.05,1.46,-2.74,48.44,5.64,38.4,1.46
70.12,39.09,0.0,1.86,57.21,6.74,27.4,1.54
60.55,36.35,0.0,2.0,47.52,5.88,40.95,4.0
20.98,39.09,1.5,-3.16,52.46,5.53,30.26,2.29
96.19,38.96,0.0,1.01,49.94,5.75,34.59,1.48
36.06,36.35,0.0,2.16,50.51,6.81,42.84,0.0
19.59,37.2,0.0,-0.59,52.48,5.85,30.36,0.0
59.88,37.2,1.68,-3.45,49.41,5.9,33.4,1.48
81.19,39.18,0.0,1.75,50.4,5.89,44.64,1.31
95.34,38.76,0.0,0.99,49.7,5.64,39.81,1.32
60.08,39.25,0.0,1.92,50.16,6.36,32.55,0.0
36.66,38.76,1.17,-2.5,49.16,3.86,26.55,0.92
83.94,36.9,0.0,1.71,49.43,4.81,28.29,0.76
84.75,39.48,1.25,-2.62,48.09,5.69,43.71,1.22
52.84,37.68,0.0,1.81,47.9,5.08,44.51,1.21
68.41,36.62,1.65,-3.19,47.96,4.9,40.2,1.09
32.78,38.27,0.0,1.97,51.21,5.99,41.12,0.0
56.08,37.2,1.9,-3.8,49.47,6.7,41.15,0.0
62.17,38.07,0.0,2.11,75.58,9.18,46.14,1.43
44.66,37.95,1.74,-3.42,69.27,8.49,36.91,1.8
32.73,39.42,1.39,-2.85,50.72,6.07,29.53,1.69
44.46,37.51,0.0,2.17,51.47,7.5,34.33,0.0
31.05,37.95,0.0,1.69,47.96,5.17,44.5,1.1
55.55,38.13,0.0,2.04,50.22,6.34,31.98,1.92
89.79,36.9,1.67,-3.49,48.94,6.42,41.09,1.65
84.25,38.04,0.0,2.0,51.14,6.49,29.01,1.87
27.59,38.03,0.0,2.07,49.49,4.53,25.96,1.18
40.2,38.97,1.48,-2.84,50.91,4.51,29.97,0.66
49.56,38.65,0.0,1.98,49.84,5.72,41.67,1.6
71.83,37.99,1.75,-3.16,50.74,6.08,33.91,1.43
58.69,39.33,0.0,1.96,50.43,4.78,27.9,0.73
17.66,35.89,1.16,-2.62,50.46,4.3,36.54,0.42
52.52,38.76,1.54,-2.93,60.06,7.89,27.95,1.81
27.88,38.27,0.0,2.02,51.61,7.06,35.3,3.48
37.77,38.27,0.0,2.0,48.43,5.7,27.63,0.0
37.53,36.9,1.51,-2.93,49.85,6.07,43.35,1.18
85.99,38.04,1.69,-3.09,48.88,5.53,45.43,1.56
74.25,35.55,0.0,1.89,47.77,4.64,38.89,0.0
53.5,38.33,1.39,-3.04,48.5,5.8,45.83,1.69
62.93,35.55,0.0,1.96,49.42,6.07,29.62,1.63
59.34,38.24,1.36,-2.61,98.04,12.04,39.29,1.65
32.93,37.51,1.21,-2.43,49.14,4.33,34.63,0.0
81.74,38.76,0.0,2.25,50.59,6.05,35.14,1.39
69.55,37.2,0.0,2.08,48.52,5.2,31.02,1.46
35.64,100.0,0.51,-1.1,49.0,5.74,40.96,1.59
32.43,39.43,0.0,1.85,51.45,6.42,38.8,1.68
61.42,37.5,0.0,2.06,70.6,8.82,35.4,1.5
61.48,38.04,0.0,1.96,64.84,7.98,38.81,1.38
21.07,38.11,1.7,-3.24,51.09,7.34,37.04,3.99
36.96,39.25,0.0,2.19,48.58,6.83,39.23,0.0
74.69,37.34,0.0,1.76,57.25,7.1,44.38,1.83
40.66,37.2,1.76,-3.12,76.83,8.61,40.92,1.03
76.83,38.56,0.0,2.37,48.12,5.77,40.53,3.29
67.62,38.24,1.36,-2.42,89.41,9.25,33.84,0.74
95.61,38.98,0.0,1.11,50.55,6.28,41.31,1.62
23.78,37.83,0.0,2.1,49.65,6.07,38.56,1.44
28.06,39.81,0.0,1.82,50.01,5.41,35.16,1.43
40.67,38.98,0.0,2.01,50.09,6.17,28.88,3.82
94.81,38.09,0.0,1.08,49.48,4.07,31.52,0.4
51.07,37.68,0.0,2.07,48.01,5.49,34.27,1.33
21.8,38.76,0.0,2.0,50.87,6.76,33.12,0.0
74.3,38.98,0.0,2.05,47.67,5.08,45.1,1.18
62.1,38.76,0.0,2.05,51.25,6.69,38.04,0.0
21.68,37.83,0.0,2.21,49.23,5.85,31.11,1.58
87.79,37.9,0.0,1.86,47.89,4.51,33.44,0.93
17.99,39.5,1.6,-3.47,51.84,6.69,46.2,1.61
50.85,38.76,1.72,-3.35,50.89,6.33,33.21,1.65
56.43,38.2,0.0,2.24,50.83,5.6,33.98,3.6
82.75,38.38,1.4,-2.75,50.01,4.01,26.92,0.51
32.8,39.33,0.0,2.22,80.66,10.24,42.57,1.45
36.83,39.9,1.22,-2.66,51.05,4.48,33.53,0.87
28.0,38.57,1.54,-3.24,48.29,6.43,41.9,1.74
36.93,37.15,0.0,1.98,49.93,5.59,39.06,1.54
97.25,38.68,0.0,1.0,51.63,4.75,24.84,0.61
93.95,39.25,0.0,0.97,72.54,8.87,43.24,1.54
77.12,37.34,1.78,-3.28,50.25,5.59,41.19,1.62
95.45,37.5,0.0,0.99,88.6,9.76,43.53,0.64
82.95,38.97,0.0,1.93,50.23,4.55,30.4,0.78
34.95,38.98,1.13,-2.39,49.37,4.17,34.37,0.46
41.1,44.43,0.0,2.07,96.59,10.33,37.87,0.52
54.34,38.03,0.0,1.87,67.01,8.25,33.5,1.83
47.48,38.76,1.54,-3.32,65.67,7.89,45.69,1.8
65.27,37.51,0.0,2.21,50.99,6.54,37.34,0.0
79.1,100.0,0.0,1.89,75.79,9.13,42.64,1.56
20.7,37.5,0.0,2.1,52.9,5.33,27.97,0.97
69.77,37.88,1.41,-2.82,48.54,5.26,27.11,1.34
51.03,37.68,0.0,1.91,47.6,4.94,34.53,1.15
27.96,38.68,1.7,-3.07,48.26,6.5,32.32,0.0
26.06,38.03,0.0,1.9,49.46,4.59,30.8,2.46
36.42,37.68,1.59,-3.15,50.72,4.11,26.09,0.58
97.26,37.34,1.26,-0.69,48.59,3.78,39.6,0.46
81.23,37.99,1.53,-3.28,49.07,5.96,39.97,1.57
36.44,100.0,0.4,-0.89,48.57,4.39,36.56,1.23
44.93,35.55,0.0,2.23,92.77,11.42,39.19,1.86
27.02,37.83,0.0,2.31,50.66,6.14,27.16,1.36
46.18,38.15,1.72,-3.49,49.95,6.1,35.21,0.0
43.43,36.9,0.0,1.76,49.64,5.98,40.25,3.2
54.85,38.66,0.0,1.8,50.65,6.14,41.65,1.87
47.14,37.5,1.64,-3.01,90.94,10.72,26.44,1.01
54.45,39.09,0.0,2.18,90.71,11.13,27.69,1.58
82.22,36.9,0.0,2.28,48.95,5.96,40.05,1.16
48.78,38.18,0.0,2.11,59.37,6.05,42.31,0.95
82.72,37.57,0.0,2.04,50.57,4.92,34.65,0.66
97.88,37.5,0.0,0.88,52.08,4.73,28.11,0.71
49.7,39.11,1.05,-2.29,49.44,3.88,32.49,0.44
91.98,37.5,1.55,-3.2,49.5,5.9,44.07,1.57
86.97,35.55,1.62,-2.98,50.24,4.38,39.12,0.71
60.35,38.04,0.0,1.96,62.77,7.24,44.75,1.45
58.07,38.76,0.0,2.15,50.15,7.23,27.18,4.5
85.7,37.24,1.45,-2.79,47.64,5.24,33.81,1.47
89.71,38.08,0.0,1.76,71.87,8.8,37.5,1.24
64.33,38.07,0.0,2.17,79.05,9.79,43.11,1.55
66.26,38.07,0.0,2.14,48.73,5.7,29.52,1.52
83.21,39.19,0.0,1.9,49.65,6.71,39.88,3.47
73.38,37.93,1.7,-3.33,51.56,6.58,29.61,3.0
37.08,44.43,0.0,1.71,92.22,11.09,30.81,1.13
43.8,100.0,0.0,2.21,50.42,5.29,35.17,0.9
97.82,38.04,0.0,0.95,92.53,10.61,37.0,0.74
74.16,38.12,1.74,-3.31,92.81,11.34,42.11,1.63
33.89,37.74,1.78,-3.32,50.16,5.75,35.34,1.44
91.52,37.51,1.22,-2.64,89.45,10.19,26.32,1.17
51.54,36.3,0.0,1.76,47.16,5.93,40.94,1.68
57.79,39.19,0.0,2.34,49.93,7.33,37.68,4.5
46.85,36.27,0.0,2.21,50.98,6.69,41.55,0.0
84.18,37.68,0.0,2.13,83.97,9.57,36.01,1.01
53.07,45.06,0.0,1.77,50.36,7.38,37.14,0.0
57.03,38.52,0.0,2.12,49.44,5.63,37.53,1.09
68.36,38.68,0.0,2.05,48.83,4.37,44.44,1.14
54.19,36.35,1.76,-3.48,49.24,5.6,42.89,0.94
39.65,36.9,0.0,1.94,49.51,6.49,27.21,3.56
30.26,45.06,0.0,2.05,49.03,7.11,29.37,4.43
96.95,37.2,0.0,0.99,58.76,6.67,45.42,1.43
76.57,37.51,1.91,-3.45,48.79,6.25,31.35,1.66
28.95,37.5,0.0,1.8,50.97,4.86,32.71,0.72
22.76,37.15,1.54,-2.93,49.74,6.79,38.66,0.0
49.3,44.43,1.57,-3.0,50.93,5.4,45.18,1.66
92.98,39.25,0.0,1.03,69.03,8.52,45.69,1.43
78.17,37.68,0.0,1.98,73.76,9.07,35.01,1.34
20.43,37.25,1.94,-3.57,50.23,6.4,28.19,1.83
87.41,36.27,0.0,2.15,50.91,4.66,39.27,0.67
33.58,38.15,1.39,-2.98,48.76,6.31,43.82,4.17
53.7,38.65,0.0,2.22,50.18,5.79,42.66,1.2
96.36,38.65,0.0,0.93,46.9,5.38,37.42,1.24
95.47,38.98,0.0,0.96,71.95,8.79,33.5,1.6
71.79,37.2,1.84,-3.25,91.43,11.25,43.36,1.59
94.49,36.9,1.2,-2.39,65.23,6.09,25.7,0.96
84.75,39.25,1.33,-3.06,98.28,12.33,38.36,1.46
51.77,100.0,0.0,2.04,47.89,5.39,32.5,1.53
95.53,40.2,0.0,0.91,48.47,5.02,37.91,1.37
43.44,38.08,1.7,-3.41,50.01,6.69,40.18,2.68
32.08,38.08,0.0,2.14,49.03,6.38,45.9,4.14
36.7,37.5,0.0,1.77,57.58,6.87,42.79,1.64
76.35,39.02,0.0,2.2,50.19,6.41,43.0,1.58
93.77,44.59,0.0,1.02,50.3,4.13,26.37,0.53
92.36,38.76,0.0,0.92,49.37,5.16,41.73,1.37
90.65,45.06,0.0,1.85,49.91,5.59,32.14,1.62
39.91,37.91,1.23,-2.8,51.24,5.83,26.29,0.0
39.86,39.73,1.25,-2.66,50.61,4.26,36.59,0.61
53.3,38.98,1.69,-3.14,48.56,5.78,40.45,1.72
24.29,38.03,1.57,-3.05,50.39,6.51,45.92,1.55
27.53,36.9,1.52,-2.53,46.54,4.48,29.01,1.2
85.73,35.55,1.23,-2.85,49.49,4.51,35.25,0.54
33.1,39.81,0.0,2.31,51.44,5.78,30.76,1.64
90.49,36.27,0.0,2.08,48.75,4.76,41.79,1.22
47.49,39.33,1.02,-2.07,48.27,4.11,29.85,0.87
78.7,37.89,1.41,-3.26,50.71,4.53,35.63,0.83
88.97,39.19,1.29,-2.41,48.67,5.75,40.39,3.22
22.17,39.36,1.18,-2.62,50.79,4.89,31.69,0.48
64.56,38.35,0.0,2.11,47.7,5.05,27.49,1.26
74.11,36.35,0.0,2.25,49.7,4.96,38.81,0.76
55.55,100.0,0.72,-1.31,49.11,6.62,26.99,4.13
73.22,37.5,1.34,-2.79,64.96,5.87,37.0,0.39
72.32,38.04,1.52,-3.04,50.8,5.62,41.04,1.01
87.57,39.72,0.0,1.47,48.82,5.43,43.52,1.39
86.54,38.4,0.0,2.14,52.24,5.59,40.35,1.09
97.17,38.03,1.27,-0.78,47.88,5.79,28.91,0.0
89.27,39.43,0.0,1.8,47.94,4.17,30.85,1.04
81.99,38.18,0.0,2.13,50.78,5.94,44.91,1.3
67.46,37.26,0.0,1.87,48.1,5.24,35.47,1.26
65.81,36.9,0.0,1.81,49.64,4.64,25.73,3.15
35.98,39.25,1.32,-2.3,48.08,5.15,26.64,1.34
93.34,38.97,0.0,1.09,59.05,6.9,39.07,1.73
48.87,37.5,0.0,2.02,47.9,6.71,41.94,4.42
38.07,37.51,1.44,-3.26,50.89,5.95,40.03,3.31
88.09,38.18,0.0,1.94,47.9,4.52,38.71,1.07
97.01,37.95,0.0,0.93,51.15,5.85,30.08,1.07
85.84,39.19,1.36,-3.01,62.4,7.22,27.66,1.56
97.94,37.5,0.0,0.97,48.58,4.57,41.2,1.28
54.37,37.2,1.79,-3.24,51.81,5.91,43.6,1.51
40.11,37.51,0.0,1.85,50.48,7.04,40.84,3.8
59.52,39.81,0.0,1.8,48.13,4.57,37.42,2.28
39.16,39.81,1.43,-2.85,48.13,5.88,42.75,1.5
48.73,38.98,0.0,1.81,48.53,4.13,26.1,0.91
29.96,39.04,0.0,1.78,51.0,5.13,25.85,0.89
49.28,37.97,0.0,1.7,47.81,5.66,27.54,1.43
47.59,38.68,0.0,1.86,51.15,4.07,33.66,0.89
71.89,38.03,0.0,2.16,63.74,7.64,42.57,1.43
83.01,37.34,0.0,2.18,70.43,8.35,29.45,1.18
69.19,38.14,0.0,2.17,50.33,5.68,36.44,1.55
89.42,38.76,0.0,1.93,49.08,3.87,42.86,0.42
97.76,38.15,0.0,1.07,48.55,4.79,45.53,1.2
53.4,38.12,1.78,-3.3,50.88,4.99,30.5,0.96
77.17,37.89,1.53,-2.94,49.9,4.39,32.24,0.72
25.17,39.09,0.0,1.88,49.01,5.51,43.36,1.08
92.33,39.36,1.46,-3.02,48.28,5.24,41.14,1.33
80.22,38.41,0.0,2.0,49.61,6.03,34.78,1.65
23.62,38.98,0.0,2.09,51.18,6.14,34.67,1.12
92.72,38.07,0.0,0.93,81.56,8.34,24.33,0.42
50.43,39.19,1.47,-3.13,50.45,5.53,26.2,1.37
47.08,37.2,0.0,1.86,49.0,7.23,34.67,3.32
91.51,38.07,1.67,-3.34,51.18,5.98,28.16,1.46
43.97,39.9,0.0,1.77,104.67,13.38,38.75,1.25
73.96,37.95,0.0,1.87,50.25,5.9,27.28,1.71
78.31,38.98,0.0,1.87,48.24,6.31,30.85,3.58
89.25,38.4,0.0,1.73,50.95,4.16,39.09,0.46
18.97,37.34,1.59,-3.58,51.02,7.68,41.33,3.84
65.84,38.08,0.0,2.11,89.96,9.38,34.5,0.51
44.68,100.0,0.0,2.08,50.15,4.66,24.05,0.66
27.65,38.24,0.0,2.07,49.21,5.03,34.57,1.35
92.94,37.24,1.72,-2.98,46.91,4.79,43.9,1.09
56.79,38.03,0.0,1.97,90.26,11.11,28.0,1.46
58.92,37.24,1.32,-2.85,73.85,8.39,46.05,1.43
77.81,39.55,1.65,-3.28,50.61,5.78,46.8,1.71
27.27,37.5,1.36,-2.71,47.85,6.78,44.95,0.0
66.39,36.62,0.0,2.01,48.01,5.76,28.11,1.49
21.86,45.6,1.25,-2.24,50.84,4.54,34.84,0.49
88.88,37.5,0.0,1.81,47.22,3.77,29.64,0.88
59.72,38.08,1.69,-3.0,48.95,6.17,36.59,3.29
24.79,38.12,0.0,2.13,98.34,12.06,41.73,1.33
83.17,38.18,0.0,2.18,50.84,5.45,29.77,0.92
38.6,46.11,0.0,2.12,49.61,5.46,39.61,1.44
26.53,90.22,0.55,-1.14,50.49,4.71,40.17,0.58
40.09,39.19,0.0,1.99,50.98,5.94,43.05,1.62
42.04,39.9,1.55,-3.21,51.93,5.09,25.02,0.99
36.62,38.98,0.0,2.09,49.46,6.59,45.64,4.45
39.57,37.68,1.63,-3.28,51.5,5.23,25.55,0.92
85.99,36.9,0.0,2.06,48.7,4.59,23.61,0.48
40.55,38.03,0.0,1.64,75.41,8.56,29.45,1.11
63.78,38.65,0.0,1.81,49.83,5.47,43.55,1.46
51.49,38.56,0.0,1.9,49.49,5.28,28.63,0.0
57.56,36.9,1.95,-3.79,71.56,8.94,47.18,1.74
73.58,37.99,1.41,-3.33,50.47,5.64,30.21,1.52
40.66,38.03,0.0,2.17,67.46,8.42,42.13,1.62
81.5,35.55,0.0,2.2,48.07,6.6,30.75,0.0
20.17,38.15,0.0,1.68,51.7,5.86,26.65,0.0
80.4,38.98,0.0,2.09,48.39,6.54,31.78,0.0
77.8,37.24,1.87,-3.28,55.97,6.9,26.98,1.52
65.51,37.48,1.15,-2.52,47.82,4.52,41.99,0.85
41.02,36.35,1.74,-3.4,47.74,4.97,28.31,1.32
59.95,37.83,0.0,1.85,96.23,11.19,39.9,1.2
92.42,38.06,0.0,0.94,50.14,6.15,34.31,1.6
39.55,38.18,0.0,1.7,41.66,5.96,30.19,1.46
39.49,39.9,1.18,-2.55,50.4,4.33,27.5,0.58
74.24,37.23,0.0,1.71,48.8,5.27,42.58,1.57
40.48,37.7,0.0,1.93,51.71,6.02,43.53,1.73
85.13,38.09,1.42,-3.25,50.75,7.06,39.03,4.01
32.75,38.03,0.0,2.04,49.81,7.32,47.17,3.54
80.87,38.65,0.0,1.91,74.25,7.96,43.66,1.09
44.68,45.06,0.0,1.89,48.89,5.58,39.12,0.0
42.71,36.9,1.33,-3.03,86.24,9.13,35.01,0.53
55.42,39.25,0.0,1.93,48.79,6.8,40.11,4.18
91.24,44.43,0.0,1.03,50.39,6.64,29.87,3.7
21.3,38.08,0.0,2.03,51.93,6.32,43.85,0.0
81.27,37.51,1.52,-3.18,63.48,7.31,41.86,1.44
90.91,39.25,0.0,1.28,62.39,7.54,30.77,1.37
95.26,38.07,0.0,1.11,87.76,10.35,28.31,1.17
69.15,37.57,1.3,-2.63,49.68,4.83,32.95,3.24
59.13,100.0,0.0,2.01,49.75,5.78,34.02,1.49
46.66,39.25,1.73,-3.31,50.88,5.8,42.28,1.44
31.09,45.06,0.0,1.74,49.47,7.06,37.44,3.89
69.55,38.76,1.51,-3.12,100.45,11.6,27.44,0.86
54.77,39.25,1.58,-3.39,50.42,5.95,31.75,1.67
38.1,39.19,0.0,1.78,50.35,6.36,36.15,1.62
56.04,37.24,1.55,-2.88,77.52,9.63,43.33,1.69
79.4,38.2,0.0,1.76,48.92,4.43,44.27,1.02
94.18,100.0,0.58,-1.17,48.37,6.23,38.5,1.45
89.78,37.5,0.0,1.8,46.78,4.78,30.05,1.14
57.41,38.03,0.0,1.95,51.12,6.21,45.31,1.66
74.26,100.0,0.58,-1.25,50.92,6.67,26.19,3.44
85.86,38.27,0.0,1.75,74.75,9.56,33.32,1.51
85.81,38.97,0.0,1.99,48.65,4.13,25.94,0.92
61.81,38.57,0.0,1.67,50.38,6.05,46.63,1.55
65.19,37.51,0.0,1.95,51.69,5.9,41.79,0.0
68.31,38.09,1.44,-2.79,48.09,6.75,30.73,3.69
78.16,38.3,0.0,2.08,49.79,4.72,26.14,0.78
90.58,37.2,1.27,-2.54,46.68,5.68,34.67,1.33
45.07,38.68,0.0,2.22,51.3,5.69,28.71,2.91
24.44,37.5,1.47,-3.02,48.58,6.25,37.59,1.72
63.12,40.13,1.39,-2.81,49.83,6.18,34.86,1.8
72.51,38.68,1.36,-2.87,51.49,5.02,27.09,0.92
24.44,39.93,0.0,2.07,51.24,5.97,32.45,1.18
41.99,45.6,0.0,2.15,68.91,8.48,36.36,1.33
27.41,37.15,1.35,-2.88,48.85,6.18,38.67,0.0
61.65,39.19,1.2,-2.76,49.09,3.9,30.56,0.43
48.02,37.34,1.67,-3.31,50.01,6.57,43.64,3.6
19.48,37.97,0.0,-0.67,49.99,6.15,41.32,2.05
29.8,38.27,0.0,1.91,52.25,6.36,38.57,3.99
76.25,38.07,0.0,1.61,96.42,10.41,25.25,0.45
66.89,36.53,0.0,2.11,49.65,4.1,43.86,1.01
90.5,39.82,0.0,0.94,48.96,5.99,30.59,1.52
84.84,38.68,0.0,1.89,66.82,7.04,32.28,0.8
52.69,38.03,0.0,1.91,90.23,11.38,27.65,1.53
89.0,39.9,0.0,2.02,48.25,5.82,43.77,1.45
40.51,36.27,0.0,1.96,49.8,6.69,36.04,0.0
77.51,37.38,0.0,1.93,50.13,6.29,28.38,1.3
46.94,100.0,0.0,2.26,48.3,3.92,43.12,0.42
85.48,38.15,1.65,-3.36,52.31,6.55,33.94,1.75
69.37,37.97,1.1,-2.34,49.87,4.05,37.16,0.56
96.88,36.9,1.62,-1.08,63.83,5.95,40.64,0.69
91.54,38.12,0.0,0.93,50.68,5.81,28.09,1.58
51.45,38.08,1.69,-3.53,50.48,6.56,31.62,3.08
24.02,39.9,0.0,2.04,76.22,9.37,41.38,1.24
79.21,100.0,0.58,-1.18,49.73,6.17,44.54,3.47
97.14,38.97,0.0,1.05,71.27,7.17,40.88,0.62
62.42,36.68,0.0,2.03,48.74,3.99,33.65,0.79
70.39,38.27,0.0,2.34,49.98,5.42,27.54,1.45
72.82,38.2,0.0,1.9,51.04,7.21,31.32,4.1
29.52,39.33,0.0,1.71,75.09,9.1,34.69,1.6
81.28,39.09,0.0,1.91,72.3,6.97,37.67,0.84
34.96,38.15,1.59,-2.97,48.18,6.49,42.74,0.0
44.49,39.19,1.48,-2.97,57.28,7.06,45.62,1.63
39.56,39.07,0.0,1.96,48.66,4.57,36.63,1.16
58.83,37.5,1.83,-3.45,48.89,5.71,38.43,1.35
22.56,38.94,0.0,2.15,51.65,5.57,40.21,0.83
